epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.372,1.60129,8.14805,1.44714,0.57052,0.59331,0.56858,0.30596,1.62039,5.62946,1.4473,0.00332987,0.00332987,0.00332987
2,386.361,1.50913,5.26102,1.32452,0.55879,0.58193,0.56961,0.30517,1.69363,6.01564,1.53128,0.00653127,0.00653127,0.00653127
3,570.98,1.57366,5.74514,1.36096,0.51826,0.38973,0.34519,0.15959,1.99896,9.30819,1.84672,0.00960067,0.00960067,0.00960067
4,755.885,1.63324,6.10689,1.4088,0.58115,0.60706,0.59234,0.31452,1.68838,5.68499,1.53107,0.009406,0.009406,0.009406
5,940.294,1.57573,5.55893,1.37289,0.66665,0.63862,0.63371,0.34566,1.61057,4.99097,1.44617,0.009208,0.009208,0.009208
6,1124.48,1.5403,5.23244,1.34813,0.69333,0.6471,0.64869,0.35477,1.58598,4.81178,1.44769,0.00901,0.00901,0.00901
7,1308.98,1.51463,4.99442,1.33195,0.70684,0.69166,0.68561,0.38777,1.52652,4.38334,1.38794,0.008812,0.008812,0.008812
8,1493.24,1.49259,4.82584,1.31705,0.6559,0.71813,0.70324,0.40927,1.49475,4.09544,1.3652,0.008614,0.008614,0.008614
9,1677.84,1.48117,4.74435,1.30716,0.72194,0.71047,0.71316,0.42051,1.46839,4.03488,1.35448,0.008416,0.008416,0.008416
10,1860.25,1.46234,4.6067,1.29552,0.72713,0.72843,0.72206,0.42551,1.46119,3.92479,1.33774,0.008218,0.008218,0.008218
11,2043.06,1.45171,4.53734,1.29155,0.63805,0.76256,0.72918,0.4351,1.43467,3.80444,1.31756,0.00802,0.00802,0.00802
12,2227.83,1.43621,4.42419,1.28025,0.66325,0.78421,0.74157,0.44746,1.42184,3.68232,1.31984,0.007822,0.007822,0.007822
13,2412.62,1.42539,4.35019,1.27521,0.67893,0.77132,0.73985,0.45441,1.39769,3.67873,1.29383,0.007624,0.007624,0.007624
14,2597.34,1.42233,4.30452,1.26985,0.75043,0.75602,0.75621,0.46529,1.38851,3.57481,1.28616,0.007426,0.007426,0.007426
15,2781.09,1.41238,4.24051,1.26347,0.69012,0.79443,0.75786,0.46974,1.37635,3.49504,1.28243,0.007228,0.007228,0.007228
16,2963.17,1.40401,4.17422,1.2579,0.69293,0.79709,0.75498,0.46989,1.37223,3.44233,1.27616,0.00703,0.00703,0.00703
17,3144.66,1.39469,4.11484,1.25427,0.68681,0.80355,0.76113,0.47646,1.36357,3.39024,1.2732,0.006832,0.006832,0.006832
18,3326.14,1.38516,4.05662,1.25188,0.67573,0.81935,0.76596,0.48133,1.35327,3.33735,1.26545,0.006634,0.006634,0.006634
19,3507.76,1.38057,4.01136,1.24209,0.69989,0.80477,0.77024,0.48634,1.34974,3.30873,1.25768,0.006436,0.006436,0.006436
20,3689.16,1.3743,3.97929,1.2355,0.70117,0.8163,0.77622,0.49185,1.34069,3.23996,1.25172,0.006238,0.006238,0.006238
21,3870.95,1.36993,3.93644,1.23952,0.6876,0.83066,0.77823,0.49455,1.33406,3.21347,1.24757,0.00604,0.00604,0.00604
22,4052.34,1.36378,3.8869,1.23115,0.69092,0.83367,0.77843,0.49562,1.33196,3.21506,1.24698,0.005842,0.005842,0.005842
23,4234.7,1.35943,3.846,1.22668,0.702,0.83002,0.78087,0.49917,1.32581,3.16469,1.24179,0.005644,0.005644,0.005644
24,4416.32,1.34784,3.8128,1.22411,0.69471,0.82968,0.77849,0.49938,1.31939,3.14728,1.23654,0.005446,0.005446,0.005446
